region,month_no,popdensity,ssta,soi,typhoon_distance,typhoon_wind,rainfall,poverty,ndvi,evi,daily_temp,nightly_temp,polstab,dengue,dengue_next
X,3,455.243469,26.45000028,1.5375,2.385922531,6.984375,2.642875,13192.45142,5442.347222,3888.375,12654.09722,13640.45004,-0.031624789,56,14
II,3,255.067597,26.875,-0.0375,2.487445499,11.08823529,0.735247917,13819.59017,5811.833333,3684.833333,14125.03691,14750.14665,-0.047404139,32,30
VII,8,1063.450322,25.09999962,0.02,9.443365566,38.99189189,0.15429,15064.20898,6961,5035.7,12343.35,5995.68,-0.069231491,561,590
XII,9,271.5644907,24.94999981,-0.0625,30.12144015,67.76515151,1.45823125,12567.88526,5358.9375,3948.0625,9685,3796.4375,-0.068146767,3,1
V,5,2124.008681,26.25,-0.4125,9.731302237,25.55555556,4.383579167,13185.27474,6265.8125,4550.166667,10809.90972,9253.902402,-0.072411307,62,297
VI,5,693.9755754,27.66000023,-0.32,-1,-1,0.558865,12529.30013,5499.433333,3754.5,15289.22667,12903.21034,-0.044928377,40,198
XII,2,281.7134917,25.99999953,0.7375,-1,-1,3.719771875,12687.51941,7275.479167,5657.791667,13264.89583,11047.40625,-0.032891771,58,24
V,9,2132.309163,24.94999981,-0.0625,25.59036716,67.76515151,1.58854375,13185.27474,7928.854167,5500.291667,12122.80903,10653.30791,-0.068146767,328,242
III,11,1030.531928,26.32499981,-0.725,80.51448181,53.46153846,0.90545625,13843.37539,7254.15,5211.633333,14400.51131,14065.07233,-0.078212631,139,54
I,5,368.4280839,27.25,-0.575,6.442949177,23.45,2.10574375,14512.18652,4538.5,2889.25,15548.0375,7508.016073,-0.083581491,1,4
XIII,4,346.0210071,27.25,-0.175,7.833369097,33.48958333,1.84630625,14437.67285,7566.777778,5599.5,14114.91124,14954.59994,-0.073331578,30,26
I,11,376.8725507,25.44999981,-0.7375,8.101156882,31.34782609,0.438725,14512.18652,5979.75,3912.375,15384.36875,14833.625,-0.052230826,27,10
III,11,1079.881851,25.44999981,-0.7375,7.455056131,31.34782609,0.78050125,13843.37539,6617.025,4081.2,14322.35357,8799.88119,-0.052230826,284,169
XI,5,412.7830689,26.92500019,-0.2,-1,-1,2.315265625,13562.44726,7380.25,4819.9375,15928.41458,13480.1875,-0.092983021,225,243
V,1,2068.211001,24.9000001,1.2625,-1,-1,3.280904167,13185.27474,7430.875,5069.75,12624.40278,14230.65208,-0.095659922,97,49
VII,9,1105.416306,24.625,0.7,17.44477856,65.51662234,1.991175,15064.20898,5464.375,4071.75,15366.66667,7406.5,-0.03970309,509,276
V,4,2146.143298,27.39999962,-0.1875,3.617140467,21,3.621111458,13185.27474,7062.229167,5146.444444,14656.4121,14883.55475,-0.06059766,66,87
VI,12,698.7984936,24.1500001,0.6375,2.354736401,7.5,2.453110417,12529.30013,7246.166667,4879.833333,12820.19444,10090.93889,-0.03571049,4,39
III,8,999.9819765,24.82500028,-0.175,-1,-1,0.356125,13843.37539,4072.925,3636.225,12839.2175,9086.05,-0.090802694,1494,521
X,12,436.3190709,26.45999985,-0.74,11.05053346,31.10289856,1.701173333,12926.38639,7617.2,5193.488889,14108.95111,14790.3403,-0.077238993,89,142
XIII,4,349.2829519,27.39999962,-0.1875,3.284015243,21,2.19496875,14437.67285,7620.458333,5518.666667,15345.28805,13621.66921,-0.06059766,45,25
II,12,247.0671694,26.45999985,-0.74,11.93576073,31.10289856,0.663631667,13819.59017,6790.022222,4099.6,13054.51714,13595.61534,-0.077238993,149,153
III,9,1051.211896,24.94999981,-0.0625,26.20235783,67.76515151,0.44245875,13843.37539,6956,5263,13775.05222,6749.0625,-0.068146767,735,547
II,6,248.8374768,25.84000015,-0.24,4.400279793,30.08646616,1.327368333,13819.59017,5841.7,3989.533333,14575.57222,12170.78796,-0.071363809,119,518
VII,2,1033.087836,26.0250001,0.6125,-1,-1,5.8536375,15064.20898,6755.5,4390,15026.43333,14647.40417,-0.086100716,88,42
VI,3,667.8843785,27.14000015,-0.16,11.57050538,27.18369565,1.92487,12529.30013,4986.766667,3325.366667,14297.81667,14887.23759,-0.085241015,5,12
VIII,9,492.383847,25.54000015,-0.52,17.74778795,42.86078947,1.564688333,11980.20573,4229.966667,3356.433333,12176.29556,11210.98205,-0.080015646,99,99
III,2,1061.31688,26.3800003,0.88,2.466259694,5.670588236,2.40142,13843.37539,6297.64,3953.173333,14597.07633,14015.95133,-0.062791719,98,58
XII,7,270.839562,25.82499981,0.225,6.137523405,25.00724638,1.57900625,12567.88526,7693.0625,4946.375,9528.270834,3798.4375,-0.070304164,168,7
