region,month_no,popdensity,ssta,soi,typhoon_distance,typhoon_wind,rainfall,poverty,ndvi,evi,daily_temp,nightly_temp,polstab,dengue,dengue_next
I,4,364.7860047,27.52000046,-0.08,-1,-1,2.427975,14512.18652,6048.3,4014.4,15561.35595,15002.63208,-0.09371067,9,14
VII,3,1115.47267,26.45000028,1.5375,2.717194558,6.984375,2.641,15245.20239,6800.083333,5078.208333,15147.90833,14864.05256,-0.031624789,124,72
VII,11,1088.784625,25.44999981,-0.7375,6.7375885,31.34782609,0.7175875,15064.20898,7119.625,4723.375,15087,14753.85796,-0.052230826,315,223
VIII,9,496.6751342,24.94999981,-0.0625,26.31533066,67.76515151,1.090066667,11980.20573,6158.375,4545.083333,11395.11111,11337.21617,-0.068146767,122,130
VII,2,1053.200565,26.57499981,-0.55,-1,-1,0.9921125,15064.20898,5819,4271,11301,14629.7393,-0.075365421,196,192
IX,9,362.2920862,24.94999981,-0.0625,29.88568275,67.76515151,1.588357438,12786.95898,8330.375,6435.541667,11664.58333,5011.083333,-0.068146767,86,48
CAR,7,189.2494554,26.07999992,5.55E-18,9.793437273,29.25222875,1.23199875,14291.15308,7764.075,4896.15,14258.3825,10920.03665,-0.042262508,60,154
X,7,451.3916004,26.07999992,5.55E-18,11.16656954,29.25222875,1.651973333,12926.38639,5890.9,4330.033333,9169.766667,3011.333333,-0.042262508,568,708
VII,1,1011.427973,24.9000001,1.2625,-1,-1,2.68530625,15064.20898,6572.25,4850.875,14898.25,11116.875,-0.095659922,309,222
VIII,2,485.6403958,25.87499953,1.4,-1,-1,3.847222917,11980.20573,7224.527778,5331.472222,7582.160714,11083.87137,-0.095047958,46,64
XIII,1,351.7607754,25.87999992,-1.06,3.781039348,7.716129032,2.30297,14437.67285,7361.233333,4924.033333,15113.31032,13674.43765,-0.051757035,383,183
XI,12,442.0191081,24.1500001,0.6375,3.109861523,7.5,4.588375,13562.44726,5230,3765.75,9765.425,9204.0625,-0.03571049,38,152
V,7,2104.179753,26.1500001,-0.51875,18.11958159,61.5497489,0.962592708,13185.27474,7624.479167,5297.895833,11628.88542,12156.09377,-0.081772585,172,207
VI,1,682.985647,25.82500029,-0.3625,2.375682923,8.681818183,2.910452083,12529.30013,6542.652778,4363.458333,15285.81667,14825.04969,-0.097857243,46,26
III,2,1012.201957,26.0250001,0.6125,-1,-1,1.4885325,13843.37539,6463.3,3945.8,15131.40542,14627.2361,-0.086100716,30,16
II,3,240.8370491,27.10000038,0.6375,-1,-1,1.124891667,13819.59017,6735.513889,4273.527778,14165.81042,14980.40533,-0.094424956,18,32
III,4,991.7569896,27.52000046,-0.08,-1,-1,1.301453,13843.37539,6514.06,4095.26,15328.0916,14965.2878,-0.09371067,57,111
XIII,7,340.2812387,25.54000015,-0.28,-1,-1,0.327535,14437.67285,7026.433333,5114.066667,12504.67778,11243.96667,-0.091570151,38,24
XII,2,269.0675142,26.57499981,-0.55,-1,-1,1.1757125,12567.88526,7232,4994,11409.91667,13019.632,-0.075365421,108,193
VIII,2,494.1412313,26.57499981,-0.55,-1,-1,1.333360417,11980.20573,7649.166667,5418.666667,11191.57778,14537.21523,-0.075365421,59,82
XI,9,434.0678841,25.0999999,-0.225,20.74351959,62.21869277,2.37628125,13562.44726,7219,4875.5,16003.39043,12961.18229,-0.054718233,155,147
VIII,1,485.3134406,24.9000001,1.2625,-1,-1,2.7722,11980.20573,6630.625,4735.25,13804.68611,13503.96421,-0.095659922,46,46
VIII,9,488.1334293,24.27999992,0.12,-1,-1,0.207915,11980.20573,5883.166667,4337.766667,15315.06389,11109.65341,-0.090021049,221,26
XII,9,267.3357402,25.54000015,-0.52,19.26563759,42.86078947,2.0005,12567.88526,7418.45,4561.45,12361.3,8958.108263,-0.080015646,33,31
IX,2,355.3256069,26.0250001,0.6125,-1,-1,8.43719902,12786.95898,7654.333333,5330.166667,15187.79861,11035.63847,-0.086100716,16,28
I,6,375.454396,26.42500019,-0.6875,10.58389775,77.35136128,1.1295125,14512.18652,6759.875,3947.375,15471.1625,11111.9375,-0.058227142,80,159
X,12,453.7920402,24.1500001,0.6375,2.788688983,7.5,4.008925,12926.38639,5904.833333,4673.833333,7584.083333,11098.46012,-0.03571049,82,75
I,8,365.9140823,24.82500028,-0.175,-1,-1,0.362425,14512.18652,7793.75,4992.75,15441.95833,7610,-0.090802694,148,55
III,4,1040.871912,27.25,-0.175,7.761022942,33.48958333,2.5787775,13843.37539,5882.025,3744.008333,15294.27952,14914.3309,-0.073331578,29,28
XI,7,413.8228444,25.54000015,-0.28,-1,-1,0.6878125,13562.44726,7378.4,5059.35,15561.55,8954.533333,-0.091570151,369,248
VII,12,1110.444488,24.1500001,0.6375,2.591686548,7.5,3.28735,15064.20898,2733.5,2296,7623.5,11164.01875,-0.03571049,124,207
II,2,244.1053089,26.0250001,0.6125,-1,-1,1.655995833,13819.59017,6309.5,4260.5,15116.64236,14513.58295,-0.086100716,19,15
II,3,251.5269823,27.1500001,-0.0875,1.583904378,7.583333333,0.864539583,13819.59017,6186.180556,3891.847222,15329.03671,14680.7497,-0.061635676,11,18
XII,4,278.1693961,27.59999991,-0.675,2.49408093,15.93269231,3.096934375,12567.88526,7296.125,4718.1875,15277.8125,14785.499,-0.046244306,167,229
VIII,8,500.5577274,25.1,-0.3,22.90463074,72.08639876,1.679643333,11980.20573,5737.133333,4444.8,15204.5,5886.266667,-0.055943918,188,143
III,9,1026.536935,25.54000015,-0.52,18.22123067,42.86078947,1.20173,13843.37539,6896.32,5059.24,14045.6579,10275.63886,-0.080015646,283,231
IX,5,369.5523326,27.66000023,-0.32,-1,-1,1.635021506,12786.95898,7408.7,5405.8,12204.97778,8951.709091,-0.044928377,193,560
XIII,6,349.8475193,26.42500019,-0.6875,12.56159297,77.35136128,0.9733,14437.67285,7634.916667,4743.5,11559.77817,7462.586183,-0.058227142,50,72
II,2,258.3358568,25.99999953,0.7375,-1,-1,2.05068125,13960.20622,7163.069445,4704.208333,15184.25,13391.48425,-0.032891771,18,19
V,12,2162.283123,25.75,-0.3875,15.85260926,36.32221573,4.0827375,13185.27474,7023.729167,4423.020833,10660.87361,14074.72747,-0.051110161,28,47
CAR,5,185.5956554,26.25,-0.4125,10.19431562,25.55555556,1.54173125,14291.15308,6646.46875,4149.21875,12229.93646,8192.242114,-0.072411307,15,109
I,7,365.6240052,25.54000015,-0.28,-1,-1,1.28402,14512.18652,6970.6,4375,15485.63333,9084.6,-0.091570151,220,148
VIII,5,495.2038358,26.25,-0.4125,9.701720383,25.55555556,4.430470833,11980.20573,6315.458333,4380.791667,15163.73889,12530.4988,-0.072411307,33,50
V,10,2134.153714,25.32499981,-0.1125,16.17270472,53.54285714,1.685944792,13185.27474,7104.583333,5217.333333,12130.76944,11817.23168,-0.067171899,242,234
I,10,373.1982407,25.32499981,-0.1125,15.31540685,53.54285714,0.69691875,14512.18652,7126.375,4853.25,11452.20833,14800.36042,-0.067171899,104,62
X,9,446.5348964,25.0999999,-0.225,20.38504173,62.21869277,2.003345833,12926.38639,6101.208333,4609.041667,11469.90278,12598.67143,-0.054718233,409,437
I,8,379.3865523,25.25000048,-0.0375,17.07953292,63.6910636,0.427825,14512.18652,7690.5,5008.875,15473.65,11210.36264,-0.040912665,449,257
XII,5,278.5318604,27.66000023,-0.32,-1,-1,1.850955,12567.88526,7534.55,5158.7,7711.95,11878.83889,-0.044928377,229,359
VIII,10,497.0020894,25.32499981,-0.1125,16.98447007,53.54285714,1.698214583,11980.20573,7728.458333,5566.291667,14031.69444,15002.72776,-0.067171899,130,111
