RULES: ('WEEK_49',) => ('DENGUE_HIGH',) : 0.7222
RULES: ('POPD_HIGHLY DENSE', 'POLS_UNSTABLE', 'POV_NORMAL') => ('DENGUE_LOW',) : 0.75
RULES: ('SSTA_WARM', 'ALT_NORMAL', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.8333
RULES: ('POV_NORMAL', 'TEMPS_WARM', 'SOI_EL NINO') => ('DENGUE_HIGH',) : 0.7059
RULES: ('ALT_TALL', 'EVI_DENSEST', 'POLS_VERY STABLE') => ('NDVI_GREEN',) : 0.75
RULES: ('EVI_DENSEST', 'POLS_STABLE', 'TEMPS_WARM') => ('DENGUE_HIGH',) : 0.7692
RULES: ('TDIST_DIRECT HIT', 'SSTA_WARM', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7391
RULES: ('ALT_TALL', 'POLS_VERY UNSTABLE', 'SSTA_COLD') => ('DENGUE_HIGH',) : 0.7143
RULES: ('TWIND_MODERATELY WEAK', 'RAINFALL_SMALL', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7059
RULES: ('EVI_DENSER', 'NDVI_LESS GREEN', 'TEMPS_COLD') => ('DENGUE_HIGH',) : 0.7143
RULES: ('TEMPN_NORMAL', 'TEMPS_COLD', 'TWIND_MODERATELY STRONG') => ('TDIST_DIRECT HIT',) : 0.7273
RULES: ('ALT_LOW', 'POV_MILDLY NORMAL', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7222
RULES: ('DENGUE_LOW', 'TWIND_MODERATELY WEAK', 'SOI_LOW') => ('POV_NORMAL',) : 0.8571
RULES: ('ALT_TALL', 'POLS_VERY UNSTABLE', 'TDIST_NEAR') => ('SSTA_HOT',) : 0.8
RULES: ('ALT_TALL', 'POLS_UNSTABLE', 'EVI_LESS DENSE') => ('DENGUE_LOW',) : 0.8
RULES: ('TDIST_MIDDLING FAR', 'POV_MILDLY POOR', 'POLS_VERY UNSTABLE') => ('EVI_LESS DENSE',) : 0.8889
RULES: ('TEMPS_NORMAL', 'TDIST_FAR', 'POV_MILDLY NORMAL') => ('DENGUE_LOW',) : 0.7059
RULES: ('POLS_UNSTABLE', 'TEMPS_WARM', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.8889
RULES: ('TWIND_STRONG', 'POV_NORMAL', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7273
RULES: ('POLS_STABLE', 'POV_POOR', 'SOI_LOW') => ('DENGUE_HIGH',) : 0.8
RULES: ('TEMPN_NORMAL', 'POPD_DENSE', 'TWIND_WEAK') => ('DENGUE_HIGH',) : 0.7143
RULES: ('TEMPS_HOT', 'POPD_LOWLY DENSE', 'TEMPN_COLD') => ('DENGUE_HIGH',) : 0.7059
RULES: ('POV_NORMAL', 'NDVI_GREENER', 'SOI_EL NINO') => ('DENGUE_HIGH',) : 0.8462
RULES: ('EVI_DENSER', 'ALT_HIGH', 'SSTA_HOT') => ('DENGUE_LOW',) : 0.7273
RULES: ('SSTA_NORMAL', 'POV_POOR', 'POPD_LOWLY DENSE') => ('DENGUE_HIGH',) : 0.7222
RULES: ('POV_POOR', 'ALT_HIGH', 'NDVI_GREEN') => ('DENGUE_HIGH',) : 0.7143
RULES: ('NDVI_LESS GREEN', 'SOI_HIGH', 'TWIND_MODERATELY WEAK') => ('POLS_VERY UNSTABLE',) : 0.7273
RULES: ('POV_MILDLY POOR', 'NDVI_GREEN', 'EVI_DENSE') => ('DENGUE_HIGH',) : 0.7273
RULES: ('SSTA_NORMAL', 'POV_MILDLY POOR', 'SOI_LA NINA') => ('ALT_NORMAL',) : 0.7273
RULES: ('ALT_LOW', 'POLS_STABLE', 'TEMPN_COLD') => ('EVI_LESS DENSE',) : 0.75
RULES: ('POPD_LESS DENSE', 'NDVI_GREENEST', 'SSTA_HOT') => ('POV_NORMAL',) : 0.75
RULES: ('TDIST_MIDDLING FAR', 'SOI_LA NINA', 'RAINFALL_MEDIUM') => ('DENGUE_LOW',) : 0.9
RULES: ('POV_MILDLY POOR', 'TWIND_MODERATELY WEAK', 'TEMPN_WARM') => ('TDIST_FAR',) : 0.7273
RULES: ('TWIND_STRONG', 'TEMPS_WARM', 'NDVI_GREENEST') => ('DENGUE_HIGH',) : 0.8182
RULES: ('TWIND_MODERATELY STRONG', 'RAINFALL_LARGE', 'TDIST_FAR') => ('DENGUE_LOW',) : 0.7647
RULES: ('ALT_TALL', 'EVI_DENSER', 'SOI_LOW') => ('DENGUE_HIGH',) : 0.8182
RULES: ('TEMPS_NORMAL', 'TWIND_STRONG', 'TEMPN_WARM') => ('DENGUE_HIGH',) : 0.7273
RULES: ('POV_MILDLY POOR', 'TDIST_DIRECT HIT', 'POLS_VERY STABLE') => ('ALT_LOW',) : 0.8
RULES: ('TEMPN_NORMAL', 'POV_POOR', 'EVI_DENSE') => ('DENGUE_HIGH',) : 0.7143
